buffer_id,lst_mean
1,20.54826897400
2,18.77978877360
3,18.46040052030
4,18.54505189860
5,18.45662146530
6,18.36114685750
7,18.20998150840
8,17.66954159460
9,17.49226589460
10,17.57038673830
11,17.64147023220
12,17.71171032800
13,17.25896502390
14,17.32248082670
15,17.06474516600
16,17.72632799150
17,17.90578729350
18,19.30925041440
19,21.25567980280
20,18.86208197220
21,18.72489590660
22,18.47797188980
23,18.52067582560
24,18.65604477930
25,18.38920822140
26,18.28524714570
27,18.34367926050
28,18.34287017430
29,18.58692182650
30,18.32018343910
31,18.01105793910
32,18.03941155850
33,18.01667276050
34,18.11182819390
35,18.25592407970
36,18.21514391780
37,18.20627182650
38,18.42278657110
39,18.69253159320
40,18.43712934450
41,18.27389064700
42,18.00908711230
43,17.96462120200
44,17.87095649350
45,17.95869078940
46,18.05013557870
47,17.46529387320
48,17.20938905560
49,17.25143200100
50,19.43355292380
51,20.82997005070
52,18.44845785900
53,18.30061957720
54,18.33643236280
55,17.95716540670
56,17.80782242860
57,17.64560366680
58,17.52925778080
59,17.44868374680
60,17.50112832440
61,17.34535479040
62,17.11062753890
63,17.04369747000
64,17.14725602390
65,17.53247063640
66,17.64987883560
67,17.85412474060
68,17.79774102800
69,17.41080706890
70,18.00077691830
71,19.25603389950
72,18.66219900980
