Id,hex_id,bra
52405,52405,1
52765,52765,1
52766,52766,1
53127,53127,1
53488,53488,1
53489,53489,1
53850,53850,1
53851,53851,1
53909,53909,1
53910,53910,1
54212,54212,1
54213,54213,1
54266,54266,1
54268,54268,1
54269,54269,1
54270,54270,1
54271,54271,1
54574,54574,1
54575,54575,1
54625,54625,1
54626,54626,1
54630,54630,1
54935,54935,1
54936,54936,1
54986,54986,1
54987,54987,1
54990,54990,1
54991,54991,1
55297,55297,1
55345,55345,1
55346,55346,1
55351,55351,1
55658,55658,1
55659,55659,1
55705,55705,1
55712,55712,1
56020,56020,1
56021,56021,1
56073,56073,1
56382,56382,1
56434,56434,1
56743,56743,1
56795,56795,1
57104,57104,1
57143,57143,1
57155,57155,1
57156,57156,1
57465,57465,1
57501,57501,1
57502,57502,1
57504,57504,1
57515,57515,1
57516,57516,1
57827,57827,1
57860,57860,1
57863,57863,1
57876,57876,1
58188,58188,1
58189,58189,1
58201,58201,1
58202,58202,1
58219,58219,1
58220,58220,1
58221,58221,1
58222,58222,1
58236,58236,1
58237,58237,1
58550,58550,1
58551,58551,1
58552,58552,1
58562,58562,1
58563,58563,1
58565,58565,1
58566,58566,1
58568,58568,1
58580,58580,1
58581,58581,1
58597,58597,1
58598,58598,1
58912,58912,1
58913,58913,1
58914,58914,1
58915,58915,1
58917,58917,1
58918,58918,1
58919,58919,1
58920,58920,1
58921,58921,1
58922,58922,1
58930,58930,1
58939,58939,1
58940,58940,1
58958,58958,1
58959,58959,1
59275,59275,1
59279,59279,1
59281,59281,1
59294,59294,1
59299,59299,1
59300,59300,1
59301,59301,1
59319,59319,1
59320,59320,1
59660,59660,1
59680,59680,1
59681,59681,1
60042,60042,1
60404,60404,1
62575,62575,1
62577,62577,1
62579,62579,1
62935,62935,1
62936,62936,1
62937,62937,1
62938,62938,1
62939,62939,1
62941,62941,1
65834,65834,1
66195,66195,1
66555,66555,1
66916,66916,1
66917,66917,1
67277,67277,1
67278,67278,1
67639,67639,1
69085,69085,1
69808,69808,1
69809,69809,1
70170,70170,1
70171,70171,1
70893,70893,1
70894,70894,1
71255,71255,1
71616,71616,1
71977,71977,1
72338,72338,1
72699,72699,1
73060,73060,1
73421,73421,1
75224,75224,1
75225,75225,1
75585,75585,1
76306,76306,1
76307,76307,1
76667,76667,1
76668,76668,1
77028,77028,1
77029,77029,1
77389,77389,1
77390,77390,1
77750,77750,1
77751,77751,1
