Id,hex_id,night_bra
38653,38653,1
39014,39014,1
39015,39015,1
39018,39018,1
39378,39378,1
39379,39379,1
39740,39740,1
40101,40101,1
40462,40462,1
40823,40823,1
41546,41546,1
41906,41906,1
41907,41907,1
42267,42267,1
42628,42628,1
42988,42988,1
42989,42989,1
43349,43349,1
43350,43350,1
43710,43710,1
44071,44071,1
44432,44432,1
44793,44793,1
45154,45154,1
45515,45515,1
45876,45876,1
46598,46598,1
46959,46959,1
47320,47320,1
47681,47681,1
49127,49127,1
49488,49488,1
50934,50934,1
51295,51295,1
51296,51296,1
51657,51657,1
51658,51658,1
52019,52019,1
52020,52020,1
52380,52380,1
52381,52381,1
52741,52741,1
52742,52742,1
53102,53102,1
53103,53103,1
53463,53463,1
53464,53464,1
53825,53825,1
53841,53841,1
54186,54186,1
54203,54203,1
54547,54547,1
54564,54564,1
54565,54565,1
54908,54908,1
54909,54909,1
54925,54925,1
54926,54926,1
55270,55270,1
55288,55288,1
55289,55289,1
55631,55631,1
55632,55632,1
55649,55649,1
55650,55650,1
55992,55992,1
56011,56011,1
56373,56373,1
56734,56734,1
56735,56735,1
57096,57096,1
57457,57457,1
57818,57818,1
57819,57819,1
58180,58180,1
58541,58541,1
58902,58902,1
58903,58903,1
59264,59264,1
59626,59626,1
59987,59987,1
59988,59988,1
60350,60350,1
60351,60351,1
60391,60391,1
60711,60711,1
60712,60712,1
60713,60713,1
60714,60714,1
60750,60750,1
60751,60751,1
61074,61074,1
61075,61075,1
61076,61076,1
61077,61077,1
61089,61089,1
61090,61090,1
61091,61091,1
61093,61093,1
61109,61109,1
61110,61110,1
61111,61111,1
61437,61437,1
61439,61439,1
61440,61440,1
61441,61441,1
61442,61442,1
61443,61443,1
61444,61444,1
61445,61445,1
61446,61446,1
61447,61447,1
61448,61448,1
61450,61450,1
61451,61451,1
61454,61454,1
61455,61455,1
61456,61456,1
61468,61468,1
61469,61469,1
61470,61470,1
61471,61471,1
61479,61479,1
61802,61802,1
61804,61804,1
61808,61808,1
61816,61816,1
61818,61818,1
61823,61823,1
61826,61826,1
61827,61827,1
61830,61830,1
62185,62185,1
62203,62203,1
62927,62927,1
63288,63288,1
63289,63289,1
67617,67617,1
67619,67619,1
67979,67979,1
67980,67980,1
67981,67981,1
68342,68342,1
68343,68343,1
68703,68703,1
68704,68704,1
69065,69065,1
69426,69426,1
69788,69788,1
70149,70149,1
70510,70510,1
70871,70871,1
71595,71595,1
71957,71957,1
72318,72318,1
72680,72680,1
74483,74483,1
74844,74844,1
75205,75205,1
75566,75566,1
75927,75927,1
76288,76288,1
76649,76649,1
77732,77732,1
78093,78093,1
