date,rainfall_mm,t_max,t_min
1/11/2022,2.8,14.3,7.7
2/11/2022,1.8,14.9,5.1
3/11/2022,1.2,14.7,7.7
4/11/2022,0,18.3,5.6
5/11/2022,0,23.5,11.2
6/11/2022,0,26.3,9.3
7/11/2022,0,26,10.6
8/11/2022,0,27.8,12.9
9/11/2022,5.2,28.3,14.3
10/11/2022,0,24.4,17.3
11/11/2022,3.2,20.5,15.2
12/11/2022,1,20.2,12.8
13/11/2022,5.4,24.8,13.7
14/11/2022,3.6,17.9,12
15/11/2022,8.6,12.7,6.9
16/11/2022,5,13.5,4.7
17/11/2022,2,16.5,7.8
18/11/2022,0.8,23.5,4.4
19/11/2022,0,20,12.2
20/11/2022,22.2,19.7,10.2
21/11/2022,3.4,13.6,7.2
22/11/2022,7,18.2,5.5
23/11/2022,0.4,17.6,10.3
24/11/2022,0,19.6,11.8
25/11/2022,0,21.3,8.9
26/11/2022,0,27,9.1
27/11/2022,0.6,20.9,11.6
28/11/2022,0.6,18.1,6.4
29/11/2022,0,18.8,10.7
30/11/2022,0,19.1,9.3
1/12/2022,0.4,18.9,12.2
2/12/2022,0,24.3,7.6
3/12/2022,0,30.7,12.4
4/12/2022,0,33.8,14.7
5/12/2022,0,18.8,14.7
6/12/2022,1.2,20.7,11.2
7/12/2022,0,20.2,10.5
8/12/2022,0,16.3,6.8
9/12/2022,0.2,17.2,7.6
10/12/2022,0,26.7,5.2
11/12/2022,0,28.6,13.5
12/12/2022,13.2,17.1,10.9
13/12/2022,5.6,18.4,8.7
14/12/2022,6.8,16.1,6.8
15/12/2022,5,16.5,9.4
16/12/2022,1.2,19.1,10.5
17/12/2022,0,21.9,7.9
18/12/2022,0,23,7.6
19/12/2022,0,24.8,8.4
20/12/2022,0,27.4,8.1
21/12/2022,0,28.6,10.7
22/12/2022,4,25.6,15.5
23/12/2022,56.6,24.2,12.8
24/12/2022,0,25,15.1
25/12/2022,0,32.2,10.8
26/12/2022,0,32.8,14.4
27/12/2022,0,36.7,16.6
28/12/2022,0,26.1,25.1
29/12/2022,0,18.6,13.2
30/12/2022,0,28.4,13.9
31/12/2022,0,29.6,15.7
1/01/2023,0,35.1,16.1
2/01/2023,0,32,23.8
3/01/2023,0.4,21.2,14.3
4/01/2023,0,17.9,13.3
5/01/2023,2.2,21.9,13
6/01/2023,0,25.5,9.6
7/01/2023,0,30.2,11.4
8/01/2023,0,31.8,12.6
9/01/2023,0,28.6,18.1
10/01/2023,0,24,15.8
11/01/2023,0,33.5,14.3
12/01/2023,0,26.7,16.8
13/01/2023,0,27,17.8
14/01/2023,0,37.4,18.8
15/01/2023,0.6,20.2,16
16/01/2023,0,27.7,14.5
17/01/2023,0,37,16.6
18/01/2023,4.4,18.6,18.5
19/01/2023,3.2,18.9,10.6
20/01/2023,0,22.9,14.4
21/01/2023,0,25.9,12.1
22/01/2023,0,25.2,16.4
23/01/2023,0,28.3,14.8
24/01/2023,0,28.2,15.1
25/01/2023,0.4,32.4,15.3
26/01/2023,0,23.3,13
27/01/2023,0,28.9,10.2
28/01/2023,0,34.9,13.3
29/01/2023,0.2,23.9,18
30/01/2023,0,21.9,17
31/01/2023,0,23.6,14.9
