,date,ta_mean
0,2022-11-01,9.258333333333333
1,2022-11-02,9.708333333333334
2,2022-11-03,11.295833333333333
3,2022-11-04,12.3375
4,2022-11-05,15.987499999999999
5,2022-11-06,18.045833333333334
6,2022-11-07,18.954166666666666
7,2022-11-08,19.2625
8,2022-11-09,21.4875
9,2022-11-10,19.849999999999998
10,2022-11-11,17.275
11,2022-11-12,15.220833333333333
12,2022-11-13,18.991666666666667
13,2022-11-14,14.129166666666668
14,2022-11-15,8.683333333333334
15,2022-11-16,8.737499999999999
16,2022-11-17,11.216666666666667
17,2022-11-18,14.325000000000001
18,2022-11-19,16.912499999999998
19,2022-11-20,13.825000000000001
20,2022-11-21,9.095833333333333
21,2022-11-22,12.179166666666667
22,2022-11-23,13.820833333333333
23,2022-11-24,14.179166666666667
24,2022-11-25,14.745833333333332
25,2022-11-26,18.091666666666665
26,2022-11-27,15.366666666666667
27,2022-11-28,12.9
28,2022-11-29,14.229166666666666
29,2022-11-30,14.225
30,2022-12-01,14.791666666666666
31,2022-12-02,15.866666666666667
32,2022-12-03,21.462500000000002
33,2022-12-04,25.383333333333336
34,2022-12-05,16.349999999999998
35,2022-12-06,15.229166666666666
36,2022-12-07,14.35
37,2022-12-08,11.191666666666668
38,2022-12-09,12.424999999999999
39,2022-12-10,15.991666666666667
40,2022-12-11,19.383333333333333
41,2022-12-12,12.975
42,2022-12-13,12.125
43,2022-12-14,11.104166666666666
44,2022-12-15,12.170833333333334
45,2022-12-16,14.4125
46,2022-12-17,15.483333333333334
47,2022-12-18,15.758333333333333
48,2022-12-19,16.795833333333334
49,2022-12-20,17.787499999999998
50,2022-12-21,19.925
51,2022-12-22,18.733333333333334
52,2022-12-23,18.079166666666666
53,2022-12-24,18.212500000000002
54,2022-12-25,21.358333333333334
55,2022-12-26,22.608333333333334
56,2022-12-27,27.441666666666666
57,2022-12-28,21.629166666666666
58,2022-12-29,15.516666666666666
59,2022-12-30,19.933333333333334
60,2022-12-31,21.974999999999998
61,2023-01-01,26.129166666666666
62,2023-01-02,24.520833333333332
63,2023-01-03,16.708333333333332
64,2023-01-04,14.725
65,2023-01-05,17.1125
66,2023-01-06,18.054166666666667
67,2023-01-07,21.008333333333333
68,2023-01-08,23.18541666666667
69,2023-01-09,21.579166666666666
70,2023-01-10,18.5
71,2023-01-11,22.541666666666668
72,2023-01-12,20.308333333333334
73,2023-01-13,20.945833333333333
74,2023-01-14,27.212500000000002
75,2023-01-15,18.14375
76,2023-01-16,19.7375
77,2023-01-17,27.370833333333334
78,2023-01-18,17.508333333333333
79,2023-01-19,14.520833333333334
80,2023-01-20,17.329166666666666
81,2023-01-21,18.037499999999998
82,2023-01-22,19.808333333333334
83,2023-01-23,21.175
84,2023-01-24,20.787499999999998
85,2023-01-25,22.056250000000002
86,2023-01-26,17.858333333333334
87,2023-01-27,19.366666666666667
88,2023-01-28,23.670833333333334
89,2023-01-29,19.745833333333334
90,2023-01-30,18.400000000000002
91,2023-01-31,18.341666666666665
