id,name,company,address,latitude,longitude,active_year,Capacity_MW,observation
1,Amazon AWS - 54-80 Ferris Rd,Amazon AWS,"54-80 Ferris Rd, VIC 3338 Cobblebank",-37.701466,144.599874,2024,,
2,1 Oroya Drive,PGIM,"1 Oroya Dr, 3029 Truganina",-37.774968,144.673317,2023,,
3,Microsoft Woods Road,Microsoft,"281 Woods Rd, VIC 3029 Truganina",-37.809371,144.722505,2025,,
4,72 Radnor Drive (MEL11),Digital Realty,"72 Radnor Drive, 3023 Deer Park",-37.781768,144.777907,2013,,
5,54 Radnor Dr (MEL12),Digital Realty,"54 Radnor Drive, 3023 Deer Park",-37.780924,144.775574,2013,,
6,98 Radnor Dr (MEL10),Digital Realty,"98 Radnor Drive, 3023 Deer Park",-37.781894,144.779322,2013,,
7,STACK Infrastructure MEL01A and MEL01B,STACK INFRASTRUCTURE,"399 Palmers Rd, 3029 Truganina",-37.819908,144.747805,2025,72,
8,Amazon AWS MEL - 22 Delivery,Amazon AWS,"22 Delivery Dr, VIC 3029 Truganina",-37.838233,144.753507,,,
9,CDC Laverton Campus,CDC Data Centres,"Leakes Rd, VIC 3026 Laverton North",-37.844125,144.773147,2021,150,
10,Datacom@AirTrunk Melbourne,Datacom,"176 Swann Dr, 3026 Melbourne",-37.800207,144.773753,,2,
11,Equinix ME4,Equinix,"2 Davis Ct, 3030 Derrimut",-37.788435,144.78587,2018,0.3,
12,Biztactix Sunshine DC,Biztactix,"9A Western Avenue, 3020 Sunshine",-37.800633,144.833061,2018,2,
13,CDC Brooklyn Campus One,CDC Data Centres,"594 Geelong Rd, VIC 3012 Brooklyn",-37.817291,144.844481,2026,150,
14,Microsoft Cawley Road (MEL04),Microsoft,"20 Cawley Rd, VIC 3013 Yarraville",-37.821295,144.857545,2026,,
15,2-8 Cawley Road,Centuria,"2-8 Cawley Rd, 3013 Yarraville",-37.819838,144.860109,,,trees
16,NEXTDC - M3 Melbourne,NEXTDC,"25 Indwe Street, 3012 West Footscray",-37.804246,144.865782,2026,,
17,1 McArthur Street / 63 Sunshine Rd,Perri Projects Pty Ltd,"63 Sunshine Rd, VIC 3012 West Footscray",-37.801578,144.869915,2025,,
18,NEXTDC - M2 Melbourne,NEXTDC,"75 Sharps Rd, 3043 Tullamarine",-37.708796,144.876051,2026,60,
19,Vantage MEL1 - Melbourne,Vantage Data Centers,"45 Tullamarine Park Rd, 3043 Tullamarine",-37.708035,144.872128,2024,48,2021
20,Microsoft Garden Drive (MEL07),Microsoft,"70-90 Garden Drive, VIC 3043 Tullamarine",-37.686002,144.874574,2025,,
21,NEXTDC - M4 Melbourne,NEXTDC,"127 Todd Rd, VIC 3207 Port Melbourne",-37.828302,144.910084,,150,
22,Equinix ME1,Equinix,"578 Lorimer Street, 3207 Port Melbourne",-37.821977,144.915989,2015,,
23,EscapeNet North Melbourne,EscapeNet,"222 Dryburgh St, 3051 North Melbourne",-37.801478,144.944061,,,
24,Equinix ME5,Equinix,"22-36 Walsh Street, 3003 West Melbourne",-37.807953,144.95344,2108,,
25,NTT Port Melbourne,"NTT DATA, Inc.","840 Lorimer street, 3207 Port Melbourne",-37.822308,144.932282,2011,,
26,NEXTDC - M1 Melbourne,NEXTDC,"826 Lorimer Street, 3207 Port Melbourne",-37.822634,144.932308,2018,16,
27,Interactive Melbourne,Interactive Pty Ltd,"437 Williamstown Rd, 4307 Port Melbourne",-37.832585,144.935068,2018,0.03,
28,Epsilon DC,Epsilon DC,"55 Crockford St, Port Melbourne, 3207 Melbourne",-37.833983,144.948246,2019,,
29,Hansen Tech - South Melbourne,Hansen Technologies,"127 York Street, South Melbourne, 3205 Melbourne",-37.831487,144.958149,2018,0.16,
30,Cloudverse IPXIDC,Cloudverse,"517 Flinders Lane, 3000 Melbourne",-37.819745,144.956581,,,
31,ResetData AI Factory (AI-F1),ResetData,"818 Bourke St, VIC 3008 Docklands",-37.819271,144.943982,2025,1.5,
32,Navicosoft,Navicosoft,"Level 23, Tower 5/727 Collins St, Docklands VIC 3008",-37.821009,144.95011,2008,,
33,Commander Data Centre,Primus Telecom / Commander,"55 King St, 3000 Melbourne",-37.819185,144.956716,2000,,
34,Melbourne Data Centre 5G Networks,5G Networks,"Level 15, 530 Collins Street, 3000 Melbourne",-37.817561,144.956721,2019,2,
35,Vocus Data Centre - 530 Collins,Vocus Communications,"Level 3, 530 Collins Street, 3000 Melbourne",-37.817561,144.956721,2010,,
36,Melbourne Data Centre,Melbourne Data Centre Pty Ltd,"530 Collins Street, 3000 Melbourne",-37.817561,144.956721,,,
37,530 Collins St,The GPT Group,"530 Collins Street, 3000 Melbourne",-37.817561,144.956721,,,
38,Vocus Data Centre - Richmond,Vocus Communications,"180 Burnley St, 3043 Richmond",-37.820255,145.00764,2013,,
39,Hansen Tech - Doncater,Hansen Technologies,"2 Frederick Street Doncater, 3108 Melbourne",-37.787693,145.12742,,,
40,Vocus Data Centre - Mitcham,Vocus Communications,"28 Thornton Cres, 3132 Mitcham",-37.821484,145.187697,2015,,
41,DXC Melbourne Data Center,DXC Technology,"4 Wesley Ct, VIC 3151 Burwood East",-37.857484,145.165134,2019,,
42,Telstra Clayton,Telstra InfraCo,"1822 Dandenong Rd, 3168 Clayton",-37.91991,145.132687,2020,10,
43,NEXTDC - Craigieburn,NEXTDC,"Brookville Drive, 3064 Craigieburn",-37.554838,144.947908,2026,,
