BUFFER_ID,COUNT,AREA,MEAN
1,142233.00000000000,128009700.00000000000,35.80965157780
2,113113.00000000000,101801700.00000000000,36.93523482820
3,133976.00000000000,120578400.00000000000,37.02908732150
4,7665.00000000000,6898500.00000000000,33.62642003670
5,5792.00000000000,5212800.00000000000,33.34905808940
6,6968.00000000000,6271200.00000000000,32.81348011000
7,6157.00000000000,5541300.00000000000,32.84703480750
8,5707.00000000000,5136300.00000000000,33.23684166370
9,5175.00000000000,4657500.00000000000,32.60698774670
10,4860.00000000000,4374000.00000000000,32.40122876270
11,5028.00000000000,4525200.00000000000,32.92033156070
12,4738.00000000000,4264200.00000000000,32.96076264620
13,4510.00000000000,4059000.00000000000,33.01674274420
14,4163.00000000000,3746700.00000000000,33.63017224330
15,4042.00000000000,3637800.00000000000,33.10801046650
16,3742.00000000000,3367800.00000000000,32.30031882150
17,3255.00000000000,2929500.00000000000,32.61997544910
18,2903.00000000000,2612700.00000000000,33.54625051220
19,2487.00000000000,2238300.00000000000,33.72274020390
20,2159.00000000000,1943100.00000000000,34.31645931170
21,1762.00000000000,1585800.00000000000,34.14698545720
22,1321.00000000000,1188900.00000000000,34.63656239020
23,1121.00000000000,1008900.00000000000,34.75341921050
24,750.00000000000,675000.00000000000,35.39407807850
25,169.00000000000,152100.00000000000,37.68681424710
27,8987.00000000000,8088300.00000000000,35.06619671790
28,8649.00000000000,7784100.00000000000,37.04855865260
29,7136.00000000000,6422400.00000000000,36.78016748310
30,8690.00000000000,7821000.00000000000,34.88056716360
31,6638.00000000000,5974200.00000000000,36.38658184600
32,9513.00000000000,8561700.00000000000,35.08191857210
33,10132.00000000000,9118800.00000000000,34.68317711150
34,8093.00000000000,7283700.00000000000,36.50326161820
35,10524.00000000000,9471600.00000000000,34.77111390420
36,7811.00000000000,7029900.00000000000,36.44615052420
37,10032.00000000000,9028800.00000000000,34.91620417390
38,7112.00000000000,6400800.00000000000,36.73149489700
39,9353.00000000000,8417700.00000000000,35.17096845650
40,7467.00000000000,6720300.00000000000,37.04603072260
41,8954.00000000000,8058600.00000000000,35.37048846240
42,7130.00000000000,6417000.00000000000,36.76282051030
43,9447.00000000000,8502300.00000000000,35.54071577160
44,6950.00000000000,6255000.00000000000,36.85691377960
45,8731.00000000000,7857900.00000000000,35.79549016290
46,7067.00000000000,6360300.00000000000,36.75384702890
47,8202.00000000000,7381800.00000000000,36.25367475510
48,6639.00000000000,5975100.00000000000,37.27544061050
49,8419.00000000000,7577100.00000000000,35.90869822010
50,5889.00000000000,5300100.00000000000,37.52936865760
51,8510.00000000000,7659000.00000000000,35.27750546030
52,5184.00000000000,4665600.00000000000,37.81566689360
53,9018.00000000000,8116200.00000000000,35.64873169310
54,2361.00000000000,2124900.00000000000,37.14833739650
55,9261.00000000000,8334900.00000000000,36.01541246120
56,1893.00000000000,1703700.00000000000,37.45504633420
57,9018.00000000000,8116200.00000000000,35.55390141620
58,1476.00000000000,1328400.00000000000,38.28052521670
59,8662.00000000000,7795800.00000000000,36.20766145290
60,743.00000000000,668700.00000000000,39.44329348160
61,8725.00000000000,7852500.00000000000,35.95617724170
62,7933.00000000000,7139700.00000000000,36.24584697600
63,7063.00000000000,6356700.00000000000,36.45475997150
64,5939.00000000000,5345100.00000000000,36.17989219530
65,5486.00000000000,4937400.00000000000,35.89793712880
66,5298.00000000000,4768200.00000000000,35.83731245930
67,5040.00000000000,4536000.00000000000,35.43588184350
68,4840.00000000000,4356000.00000000000,35.05198484910
69,4184.00000000000,3765600.00000000000,34.61396218160
70,3306.00000000000,2975400.00000000000,34.88571867980
71,2353.00000000000,2117700.00000000000,35.45620689610
72,1646.00000000000,1481400.00000000000,35.14900516970
73,957.00000000000,861300.00000000000,35.04289755570
74,411.00000000000,369900.00000000000,33.85275182890
75,13.00000000000,11700.00000000000,34.20635927010
77,7376.00000000000,6638400.00000000000,36.36032994330
78,6388.00000000000,5749200.00000000000,32.84385386290
