distance,buffer_id,buffer_no,direction,area
0,1,0,345,12777.25392
0,2,0,315,10179.70835
0,3,0,285,12080.93899
0.5,4,1,345,696.7203535
0.5,27,1,315,808.5496654
0.5,28,1,285,780.6296308
1,5,2,345,520.6690325
1,29,2,285,639.4105149
1,30,2,315,784.5499914
1.5,6,3,345,622.4742035
1.5,31,3,285,599.7955681
1.5,32,3,315,854.6783075
2,33,4,315,911.449885
2,77,4,285,66.14311028
2,77,4,285,603.7106372
2,78,4,345,583.0889082
2.5,7,5,345,551.2531565
2.5,34,5,285,726.6621897
2.5,35,5,315,949.1182558
3,8,6,345,511.0734856
3,36,6,285,703.246011
3,37,6,315,902.5051341
3.5,9,7,345,471.3102779
3.5,38,7,285,643.2149114
3.5,39,7,315,838.9725335
4,10,8,345,435.1908134
4,40,8,285,668.6954297
4,41,8,315,810.2239767
4.5,11,9,345,453.1775098
4.5,42,9,285,641.5844028
4.5,43,9,315,847.100199
5,12,10,345,427.4535146
5,44,10,285,625.8519414
5,45,10,315,784.8374064
5.5,13,11,345,405.2244672
5.5,46,11,285,635.095139
5.5,47,11,315,741.4023821
6,14,12,345,376.9915238
6,48,12,285,597.234198
6,49,12,315,756.0770037
6.5,15,13,345,363.5643523
6.5,50,13,285,529.1165355
6.5,51,13,315,765.2643328
7,16,14,345,336.3783615
7,52,14,285,463.3374461
7,53,14,315,814.4695945
7.5,17,15,345,294.7458216
7.5,54,15,285,208.7138112
7.5,55,15,315,831.65915
8,18,16,345,261.1029341
8,56,16,285,169.3497805
8,57,16,315,811.065502
8.5,19,17,345,223.9179553
8.5,58,17,285,132.5149903
8.5,59,17,315,780.9762255
9,20,18,345,195.8853595
9,60,18,285,64.27209708
9,61,18,315,784.3933336
9.5,21,19,345,158.5729007
9.5,62,19,315,710.4557151
10,22,20,345,119.0725787
10,63,20,315,635.9126135
10.5,23,21,345,101.9391017
10.5,64,21,315,532.4931791
11,24,22,345,67.77414102
11,65,22,315,492.8892037
11.5,25,23,345,15.25037799
11.5,66,23,315,476.7931611
12,67,24,315,452.0929263
12.5,68,25,315,436.1200113
13,69,26,315,377.9861556
13.5,70,27,315,298.5944787
14,71,28,315,212.3362823
14.5,72,29,315,148.0333322
15,73,30,315,86.45583732
15.5,74,31,315,37.30192714
16,75,32,315,1.100140396
