buffer_id,buffer_no,direction,lst_mean
1,0,285,20.548268974
2,2,285,18.7797887736
3,3,285,18.4604005203
4,4,285,18.5450518986
5,5,285,18.4566214653
6,6,285,18.3611468575
7,7,285,18.2099815084
8,8,285,17.6695415946
9,9,285,17.4922658946
10,10,285,17.5703867383
11,11,285,17.6414702322
12,12,285,17.711710328
13,13,285,17.2589650239
14,14,285,17.3224808267
15,15,285,17.064745166
16,16,285,17.7263279915
17,17,285,17.9057872935
18,1,285,19.3092504144
19,0,315,21.2556798028
20,2,315,18.8620819722
21,3,315,18.7248959066
22,4,315,18.4779718898
23,5,315,18.5206758256
24,6,315,18.6560447793
25,7,315,18.3892082214
26,8,315,18.2852471457
27,9,315,18.3436792605
28,10,315,18.3428701743
29,11,315,18.5869218265
30,12,315,18.3201834391
31,13,315,18.0110579391
32,14,315,18.0394115585
33,15,315,18.0166727605
34,16,315,18.1118281939
35,17,315,18.2559240797
36,18,315,18.2151439178
37,19,315,18.2062718265
38,20,315,18.4227865711
39,21,315,18.6925315932
40,22,315,18.4371293445
41,23,315,18.273890647
42,24,315,18.0090871123
43,25,315,17.964621202
44,26,315,17.8709564935
45,27,315,17.9586907894
46,28,315,18.0501355787
47,29,315,17.4652938732
48,30,315,17.2093890556
49,31,315,17.251432001
50,1,315,19.4335529238
51,0,345,20.8299700507
52,2,345,18.448457859
53,3,345,18.3006195772
54,4,345,18.3364323628
55,5,345,17.9571654067
56,6,345,17.8078224286
57,7,345,17.6456036668
58,8,345,17.5292577808
59,9,345,17.4486837468
60,10,345,17.5011283244
61,11,345,17.3453547904
62,12,345,17.1106275389
63,13,345,17.04369747
64,14,345,17.1472560239
65,15,345,17.5324706364
66,16,345,17.6498788356
67,17,345,17.8541247406
68,18,345,17.797741028
69,19,345,17.4108070689
70,20,345,18.0007769183
71,21,345,19.2560338995
72,1,345,18.6621990098
